year,ln_area,ln_production,ln_yield,ln_asi,ln_political_stability,ln_real_wheat_price,ln_real_cotton_price,ln_real_barley_price
2002,14.333917371750578,15.378997093058077,1.0452115119409944,-2.785471348070795,4.205959066362085,9.323144806148964,10.324232074683197,9.38324873021867
2003,14.401080879702501,15.4073938863584,1.0061314358739444,-5.496768305271875,4.18086919215849,9.279552390406293,10.280639658940526,8.869652685230264
2004,14.420496245859585,15.327877721701748,0.9074517832069507,-3.947650183071297,4.0847681645472065,9.181277202394456,10.182364470928688,8.771377497218426
2005,14.45937610360282,15.356401071102523,0.8969040180739649,-4.546901277864116,4.059910779281311,9.068394425907442,10.069481694441674,8.658494720731412
2006,14.395857953324892,15.411158828814822,1.0152306797290584,-2.7410900551804103,4.0395009694682775,8.981328222343222,9.982415490877454,8.807817295231422
2007,14.326975177528958,15.212027490104338,0.8850064418343887,-1.9805015938249322,4.030244334353334,8.879052662890015,10.167822003876028,8.705541735778215
2008,14.21159244771391,14.57599530742012,0.36464311358790924,-0.5787476402514492,4.020586899984746,9.12465805684053,10.043929416852823,9.014309999671665
2009,14.178329091350966,15.12432542357379,0.9458495341156995,-2.700082031453033,4.041309806757007,9.317611962285705,10.072128089221943,9.107047193178357
2010,14.284956531749103,14.941440303984578,0.6564831961883538,-3.4900285953687713,3.8460073212889743,9.275892427462564,10.005407252193383,9.040326356149796
2011,14.23490355449279,15.165745264516659,0.9309822806171448,-1.8997902134417601,3.38257010616935,9.214578046473546,10.090046783827447,8.991434495159337
2012,14.287271392420228,15.098967883437398,0.8118187102774439,-2.505926017012076,3.1760367557534046,9.027500545135316,10.530328722511157,8.920890810077058
2013,14.13329279095112,14.973055370992377,0.8398415597107487,-3.0344731018704216,3.1684799760769082,9.246579225127833,10.349747330331803,9.083254169024533
2014,14.068511895945944,14.520750327558332,0.45234869400701483,-0.7633550756034417,3.2487236843577993,9.129255243169307,10.034246419789529,8.830273615463593
2015,13.99549605496068,14.866901251614888,0.8712933659434193,-3.6690768268177565,3.188243526115403,9.121004073711791,9.951772632147785,8.881331220446372
2016,13.979758092563012,14.36146024583302,0.3818552424690307,-0.8360941898798784,3.0707704857573863,9.301430355188765,10.155845683344833,9.013748282736984
2017,13.972438235504525,14.431096117075834,0.4586898693454622,-1.454145028028065,3.183182236729766,9.321479788955926,10.083619841002823,9.080317732139038
2018,13.907923818474133,14.016807602683315,0.10885440491208208,-0.5746532865121562,3.198306572830352,9.42074459461424,10.113891775174185,9.123493071146308
2019,14.112355770327598,14.942093657290854,0.8298610038757674,-4.947660494934867,3.1779806776723536,9.295399249019068,9.961147455390899,8.942577874396326
2020,14.116013589545716,14.862293268119327,0.7462139014966376,-3.1748589394514264,3.2460958009830616,9.56616711398612,10.125782901921543,8.873019933426175
2021,14.264840705830462,14.484265655770232,0.219135529916671,-1.1851510500853482,3.232136646233467,9.595942806278748,10.617594053810729,8.091865409502473
2022,13.984609243313882,14.254800437022778,0.2700271372130602,-0.9565920286476807,3.188219645408467,9.665091211773785,10.35823839233373,9.559730696115958
2023,14.104941350513405,14.940554109495652,0.8355144218468673,-2.4024054282762566,3.188462888477917,9.344043445478203,10.61700912129109,9.102881388661315
